N. layers,Activation,Dropout,train_acc,val_acc
2,ReLU(),True,2102.8,48.9
3,ReLU(),True,487.9,7.9
4,ReLU(),True,485.7,7.8
5,ReLU(),True,490.1,7.8
10,ReLU(),True,469.4,7.8
15,ReLU(),True,490.4,7.8
2,ReLU(),False,2675.0,51.8
3,ReLU(),False,481.2,7.8
4,ReLU(),False,486.7,7.8
5,ReLU(),False,470.7,7.9
10,ReLU(),False,484.3,8.7
15,ReLU(),False,476.3,7.8
2,PReLU(num_parameters=1),True,2113.6,48.5
3,PReLU(num_parameters=1),True,487.2,7.8
4,PReLU(num_parameters=1),True,480.1,7.8
5,PReLU(num_parameters=1),True,479.2,8.7
10,PReLU(num_parameters=1),True,486.6,7.8
15,PReLU(num_parameters=1),True,491.5,8.7
2,PReLU(num_parameters=1),False,2695.2,51.3
3,PReLU(num_parameters=1),False,480.4,7.8
4,PReLU(num_parameters=1),False,491.6,7.9
5,PReLU(num_parameters=1),False,476.8,7.8
10,PReLU(num_parameters=1),False,483.0,7.9
15,PReLU(num_parameters=1),False,479.6,7.9
2,LeakyReLU(negative_slope=0.01),True,2113.9,47.6
3,LeakyReLU(negative_slope=0.01),True,1865.2,43.8
4,LeakyReLU(negative_slope=0.01),True,492.2,7.8
5,LeakyReLU(negative_slope=0.01),True,481.9,8.7
10,LeakyReLU(negative_slope=0.01),True,479.4,7.9
15,LeakyReLU(negative_slope=0.01),True,484.4,7.9
2,LeakyReLU(negative_slope=0.01),False,2658.4,50.4
3,LeakyReLU(negative_slope=0.01),False,486.1,7.8
4,LeakyReLU(negative_slope=0.01),False,477.4,7.9
5,LeakyReLU(negative_slope=0.01),False,481.0,7.8
10,LeakyReLU(negative_slope=0.01),False,479.0,7.9
15,LeakyReLU(negative_slope=0.01),False,479.0,7.9
2,Sigmoid(),True,1588.0,34.9
3,Sigmoid(),True,484.5,10.7
4,Sigmoid(),True,490.6,11.2
5,Sigmoid(),True,481.9,10.2
10,Sigmoid(),True,492.1,8.7
15,Sigmoid(),True,494.8,11.2
2,Sigmoid(),False,1472.9,32.0
3,Sigmoid(),False,484.8,7.8
4,Sigmoid(),False,494.5,10.7
5,Sigmoid(),False,488.2,7.9
10,Sigmoid(),False,481.5,7.8
15,Sigmoid(),False,468.9,11.2
2,Tanh(),True,2057.5,45.8
3,Tanh(),True,1901.3,41.3
4,Tanh(),True,486.2,7.9
5,Tanh(),True,480.9,7.8
10,Tanh(),True,489.6,8.7
15,Tanh(),True,481.6,10.2
2,Tanh(),False,2432.2,46.0
3,Tanh(),False,1896.0,36.1
4,Tanh(),False,476.6,7.8
5,Tanh(),False,483.4,7.9
10,Tanh(),False,482.3,7.9
15,Tanh(),False,474.8,8.7
