N. layers,Activation,Optimizer,Dropout,Batch Normalization,val_acc
2,Tanh(),SGD,True,True,40.0
2,Tanh(),Adam,True,True,44.7
3,Tanh(),SGD,True,True,36.5
3,Tanh(),Adam,True,True,46.9
4,Tanh(),SGD,True,True,37.1
4,Tanh(),Adam,True,True,46.7
5,Tanh(),SGD,True,True,35.0
5,Tanh(),Adam,True,True,46.7
10,Tanh(),SGD,True,True,29.6
10,Tanh(),Adam,True,True,40.0
2,ReLU(),SGD,True,True,38.0
2,ReLU(),Adam,True,True,48.4
3,ReLU(),SGD,True,True,39.1
3,ReLU(),Adam,True,True,53.3
4,ReLU(),SGD,True,True,36.3
4,ReLU(),Adam,True,True,54.8
5,ReLU(),SGD,True,True,31.7
5,ReLU(),Adam,True,True,55.8
10,ReLU(),SGD,True,True,10.9
10,ReLU(),Adam,True,True,54.50000000000001
2,LeakyReLU(),SGD,True,True,39.1
2,LeakyReLU(),Adam,True,True,51.1
3,LeakyReLU(),SGD,True,True,38.8
3,LeakyReLU(),Adam,True,True,53.0
4,LeakyReLU(),SGD,True,True,32.5
4,LeakyReLU(),Adam,True,True,55.50000000000001
5,LeakyReLU(),SGD,True,True,32.2
5,LeakyReLU(),Adam,True,True,55.7
10,LeakyReLU(),SGD,True,True,11.2
10,LeakyReLU(),Adam,True,True,52.3
2,Tanh(),SGD,False,True,39.1
2,Tanh(),Adam,False,True,48.0
3,Tanh(),SGD,False,True,39.4
3,Tanh(),Adam,False,True,53.40000000000001
4,Tanh(),SGD,False,True,39.5
4,Tanh(),Adam,False,True,54.3
5,Tanh(),SGD,False,True,38.2
5,Tanh(),Adam,False,True,54.2
10,Tanh(),SGD,False,True,39.2
10,Tanh(),Adam,False,True,52.1
2,ReLU(),SGD,False,True,40.0
2,ReLU(),Adam,False,True,51.5
3,ReLU(),SGD,False,True,38.4
3,ReLU(),Adam,False,True,54.6
4,ReLU(),SGD,False,True,37.6
4,ReLU(),Adam,False,True,55.40000000000001
5,ReLU(),SGD,False,True,39.5
5,ReLU(),Adam,False,True,55.7
10,ReLU(),SGD,False,True,35.099999999999994
10,ReLU(),Adam,False,True,56.6
2,LeakyReLU(),SGD,False,True,40.2
2,LeakyReLU(),Adam,False,True,50.9
3,LeakyReLU(),SGD,False,True,40.8
3,LeakyReLU(),Adam,False,True,55.00000000000001
4,LeakyReLU(),SGD,False,True,40.6
4,LeakyReLU(),Adam,False,True,55.1
5,LeakyReLU(),SGD,False,True,37.5
5,LeakyReLU(),Adam,False,True,57.2
10,LeakyReLU(),SGD,False,True,33.4
10,LeakyReLU(),Adam,False,True,56.10000000000001
2,Tanh(),SGD,True,False,37.7
2,Tanh(),Adam,True,False,45.2
3,Tanh(),SGD,True,False,38.3
3,Tanh(),Adam,True,False,48.4
4,Tanh(),SGD,True,False,35.6
4,Tanh(),Adam,True,False,48.8
5,Tanh(),SGD,True,False,34.8
5,Tanh(),Adam,True,False,48.9
10,Tanh(),SGD,True,False,31.5
10,Tanh(),Adam,True,False,47.9
2,ReLU(),SGD,True,False,38.7
2,ReLU(),Adam,True,False,51.1
3,ReLU(),SGD,True,False,36.1
3,ReLU(),Adam,True,False,52.1
4,ReLU(),SGD,True,False,36.3
4,ReLU(),Adam,True,False,52.90000000000001
5,ReLU(),SGD,True,False,28.8
5,ReLU(),Adam,True,False,53.6
10,ReLU(),SGD,True,False,13.0
10,ReLU(),Adam,True,False,51.2
2,LeakyReLU(),SGD,True,False,39.1
2,LeakyReLU(),Adam,True,False,51.1
3,LeakyReLU(),SGD,True,False,34.9
3,LeakyReLU(),Adam,True,False,53.6
4,LeakyReLU(),SGD,True,False,36.3
4,LeakyReLU(),Adam,True,False,53.0
5,LeakyReLU(),SGD,True,False,30.7
5,LeakyReLU(),Adam,True,False,54.0
10,LeakyReLU(),SGD,True,False,11.7
10,LeakyReLU(),Adam,True,False,51.9
2,Tanh(),SGD,False,False,36.8
2,Tanh(),Adam,False,False,45.8
3,Tanh(),SGD,False,False,38.5
3,Tanh(),Adam,False,False,49.9
4,Tanh(),SGD,False,False,39.5
4,Tanh(),Adam,False,False,50.3
5,Tanh(),SGD,False,False,37.9
5,Tanh(),Adam,False,False,53.6
10,Tanh(),SGD,False,False,39.3
10,Tanh(),Adam,False,False,52.1
2,ReLU(),SGD,False,False,39.5
2,ReLU(),Adam,False,False,52.0
3,ReLU(),SGD,False,False,37.3
3,ReLU(),Adam,False,False,52.8
4,ReLU(),SGD,False,False,37.1
4,ReLU(),Adam,False,False,56.10000000000001
5,ReLU(),SGD,False,False,36.7
5,ReLU(),Adam,False,False,56.49999999999999
10,ReLU(),SGD,False,False,41.1
10,ReLU(),Adam,False,False,58.5
2,LeakyReLU(),SGD,False,False,38.4
2,LeakyReLU(),Adam,False,False,51.9
3,LeakyReLU(),SGD,False,False,41.1
3,LeakyReLU(),Adam,False,False,53.90000000000001
4,LeakyReLU(),SGD,False,False,36.6
4,LeakyReLU(),Adam,False,False,54.8
5,LeakyReLU(),SGD,False,False,36.9
5,LeakyReLU(),Adam,False,False,56.99999999999999
10,LeakyReLU(),SGD,False,False,38.7
10,LeakyReLU(),Adam,False,False,58.1
