,train accuracy,val accuracy,hidden size,number of iterations,batch size,learning rate,regularization
0,0.6648571428571428,0.53,200,4000,256,0.001,0.001
1,0.6659387755102041,0.544,200,4000,256,0.001,0.0001
2,0.4122857142857143,0.42,200,4000,256,0.0001,0.001
3,0.4123061224489796,0.42,200,4000,256,0.0001,0.0001
4,0.6327551020408163,0.534,200,4000,512,0.001,0.001
5,0.6330816326530613,0.536,200,4000,512,0.001,0.0001
6,0.3720204081632653,0.373,200,4000,512,0.0001,0.001
7,0.37195918367346936,0.373,200,4000,512,0.0001,0.0001
8,0.6922857142857143,0.531,200,5000,256,0.001,0.001
9,0.6947142857142857,0.523,200,5000,256,0.001,0.0001
10,0.425061224489796,0.431,200,5000,256,0.0001,0.001
11,0.4251632653061225,0.431,200,5000,256,0.0001,0.0001
12,0.6431836734693878,0.54,200,5000,512,0.001,0.001
13,0.6431632653061224,0.542,200,5000,512,0.001,0.0001
14,0.3769795918367347,0.379,200,5000,512,0.0001,0.001
15,0.377,0.379,200,5000,512,0.0001,0.0001
16,0.6776938775510204,0.5529999999999999,250,4000,256,0.001,0.001
17,0.6768571428571428,0.551,250,4000,256,0.001,0.0001
18,0.41551020408163264,0.42200000000000004,250,4000,256,0.0001,0.001
19,0.4152448979591837,0.42100000000000004,250,4000,256,0.0001,0.0001
20,0.6375306122448979,0.546,250,4000,512,0.001,0.001
21,0.6389591836734694,0.5429999999999999,250,4000,512,0.001,0.0001
22,0.3737142857142857,0.375,250,4000,512,0.0001,0.001
23,0.3737142857142857,0.375,250,4000,512,0.0001,0.0001
24,0.7113673469387755,0.563,250,5000,256,0.001,0.001
25,0.7107755102040816,0.54,250,5000,256,0.001,0.0001
26,0.4269387755102041,0.434,250,5000,256,0.0001,0.001
27,0.42681632653061213,0.434,250,5000,256,0.0001,0.0001
28,0.6486122448979592,0.5479999999999999,250,5000,512,0.001,0.001
29,0.6505714285714286,0.5529999999999999,250,5000,512,0.001,0.0001
30,0.3787755102040816,0.38299999999999995,250,5000,512,0.0001,0.001
31,0.3787551020408163,0.38299999999999995,250,5000,512,0.0001,0.0001
